"filename", "language", "YAML", "Docker", "Shell Script", "Markdown", "JSON with Comments", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "PostCSS", "Python", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\README.md", "Markdown", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 87
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\Dockerfile", "Docker", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 35
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 22, 108
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\alembic\env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 25, 25, 97
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\api\v1\api.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\api\v1\endpoints\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\api\v1\endpoints\artifacts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 11, 66
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\api\v1\endpoints\jobs.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 14, 37, 211
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\api\v1\endpoints\projects.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 16, 110
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\api\v1\endpoints\uploads.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 20, 27, 172
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\core\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 8, 17, 72
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\db\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 7, 27
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 13, 51
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\artifact.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 9, 16, 79
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\base.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\job.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 7, 17, 98
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\model_preset.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 16, 54
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\printer_profile.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 7, 24
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\project.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 6, 25
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\backend\app\models\validation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 19, 72
